TTHERM_ID	module	TGD2021_description	eggNOG_description	eggNOG_preferred_name	max_annot_lvl	COG_category	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction
TTHERM_00046730	m0219	PHR2 DNA photolyase FAD-binding domain protein	FAD binding domain of DNA photolyase family protein	PHR1	2759|Eukaryota	LT	GO:0000719,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003824,GO:0003904,GO:0003913,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005739,GO:0006139,GO:0006259,GO:0006281,GO:0006290,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009987,GO:0016829,GO:0016830,GO:0033554,GO:0034641,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0097159,GO:0140097,GO:1901360,GO:1901363	4.1.99.3	ko:K01669	-	-	-	-	ko00000,ko01000,ko03400	-	-	-
TTHERM_00028470	m0219	thioredoxin domain protein putative	-	-	2759|Eukaryota	-	-	5.3.4.1	ko:K09584	ko04141,map04141	-	-	-	ko00000,ko00001,ko01000,ko03110,ko04131	-	-	-
TTHERM_00997780	m0218	UBA1 ubiquitin-activating enzyme E1	Ubiquitin-activating enzyme E1	-	5878|Ciliophora	O	-	6.2.1.45	ko:K03178	ko04120,ko05012,map04120,map05012	-	-	-	ko00000,ko00001,ko01000,ko04121,ko04147	-	-	-
TTHERM_00683310	m0218	copine protein	Encoded by	-	5878|Ciliophora	T	-	-	-	-	-	-	-	-	-	-	-
TTHERM_00666680	m0218	phospholipase a2 activating protein putative	PUL domain	-	5878|Ciliophora	I	-	-	ko:K14018	ko04141,map04141	-	-	-	ko00000,ko00001	-	-	-
TTHERM_00666560	m0218	PRE6 proteasome subunit alpha type protein	Proteasome subunit A N-terminal signature  Add an annotation	-	5878|Ciliophora	O	-	3.4.25.1	ko:K02731	ko03050,map03050	M00337,M00340	-	-	ko00000,ko00001,ko00002,ko01000,ko01002,ko03051,ko04131	-	-	-
TTHERM_00633530	m0218	PUP1 proteasome subunit beta type protein	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH	-	5878|Ciliophora	O	-	3.4.25.1	ko:K02739	ko03050,map03050	M00340	-	-	ko00000,ko00001,ko00002,ko01000,ko01002,ko03051	-	-	-
TTHERM_00442210	m0218	RPN2 26S proteasome regulatory complex subunit RPN2	Proteasome/cyclosome repeat	-	5878|Ciliophora	O	-	-	ko:K03032	ko03050,ko05169,map03050,map05169	M00341	-	-	ko00000,ko00001,ko00002,ko03051	-	-	-
TTHERM_00379050	m0218	PRE2 proteasome subunit beta type protein	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH	-	5878|Ciliophora	O	-	3.4.25.1	ko:K02737	ko03050,map03050	M00340	-	-	ko00000,ko00001,ko00002,ko01000,ko01002,ko03051	-	-	-
TTHERM_00339610	m0218	RPN1 26S proteasome regulatory subunit	regulation of protein catabolic process	-	5878|Ciliophora	O	-	-	ko:K03028	ko03050,ko05169,map03050,map05169	M00341	-	-	ko00000,ko00001,ko00002,ko03051	-	-	-
TTHERM_00327420	m0218	phospholipase d1	Phospholipase D. Active site motifs.	-	5878|Ciliophora	I	-	3.1.4.4	ko:K01115	ko00564,ko00565,ko01100,ko01110,ko04014,ko04024,ko04071,ko04072,ko04144,ko04666,ko04724,ko04912,ko05231,map00564,map00565,map01100,map01110,map04014,map04024,map04071,map04072,map04144,map04666,map04724,map04912,map05231	-	R01310,R02051,R07385	RC00017,RC00425	ko00000,ko00001,ko01000,ko04131	-	-	-
TTHERM_00302040	m0218	insulysin insulin-degrading enzyme	Belongs to the peptidase M16 family	-	5878|Ciliophora	O	-	3.4.24.56	ko:K01408	ko05010,map05010	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-
TTHERM_00239380	m0218	zinc-binding dehydrogenase family oxidoreductase	Oxidoreductase, zinc-binding dehydrogenase family protein	-	2759|Eukaryota	CK	-	-	ko:K20178	ko04138,map04138	-	-	-	ko00000,ko00001,ko04131	-	-	-
TTHERM_001014659	m0218	26S proteasome regulatory complex ATPase RPT2	Belongs to the AAA ATPase family	-	35493|Streptophyta	O	GO:0000502,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0005838,GO:0006355,GO:0006357,GO:0006508,GO:0006511,GO:0006807,GO:0006950,GO:0008134,GO:0008150,GO:0008152,GO:0008540,GO:0009056,GO:0009057,GO:0009889,GO:0009891,GO:0009893,GO:0009894,GO:0009896,GO:0009987,GO:0010033,GO:0010243,GO:0010468,GO:0010498,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017025,GO:0017111,GO:0019219,GO:0019222,GO:0019538,GO:0019941,GO:0022624,GO:0030162,GO:0030163,GO:0030433,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031329,GO:0031331,GO:0031334,GO:0031595,GO:0031597,GO:0031974,GO:0031981,GO:0032268,GO:0032270,GO:0032991,GO:0033554,GO:0034976,GO:0036402,GO:0036503,GO:0042176,GO:0042221,GO:0042623,GO:0043161,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043254,GO:0043632,GO:0044087,GO:0044089,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0045732,GO:0045862,GO:0045893,GO:0045898,GO:0045899,GO:0045935,GO:0045944,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0050896,GO:0051128,GO:0051130,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0051252,GO:0051254,GO:0051603,GO:0051716,GO:0060255,GO:0060260,GO:0060261,GO:0061136,GO:0065007,GO:0070013,GO:0071704,GO:0080090,GO:1901564,GO:1901565,GO:1901575,GO:1901698,GO:1901800,GO:1902494,GO:1902680,GO:1903050,GO:1903052,GO:1903362,GO:1903364,GO:1903506,GO:1903508,GO:1905368,GO:1905369,GO:2000112,GO:2000142,GO:2000144,GO:2001141	-	ko:K03062	ko03050,ko05165,ko05169,ko05203,map03050,map05165,map05169,map05203	M00341	-	-	ko00000,ko00001,ko00002,ko03051	-	-	-
TTHERM_000840039	m0218	COP9 signalosome subunit CSN8	COP9 signalosome assembly	COPS8	2759|Eukaryota	S	GO:0000003,GO:0000338,GO:0000715,GO:0001101,GO:0001654,GO:0001745,GO:0001932,GO:0001934,GO:0002009,GO:0002165,GO:0003006,GO:0003674,GO:0003824,GO:0004175,GO:0004222,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006281,GO:0006283,GO:0006289,GO:0006464,GO:0006508,GO:0006725,GO:0006807,GO:0006950,GO:0006952,GO:0006974,GO:0006996,GO:0007154,GO:0007165,GO:0007250,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007399,GO:0007423,GO:0007444,GO:0007472,GO:0007476,GO:0007552,GO:0007560,GO:0008150,GO:0008152,GO:0008180,GO:0008233,GO:0008237,GO:0008285,GO:0009314,GO:0009416,GO:0009605,GO:0009607,GO:0009617,GO:0009628,GO:0009653,GO:0009719,GO:0009725,GO:0009753,GO:0009791,GO:0009886,GO:0009887,GO:0009888,GO:0009893,GO:0009966,GO:0009967,GO:0009987,GO:0010033,GO:0010387,GO:0010562,GO:0010604,GO:0010646,GO:0010647,GO:0016043,GO:0016787,GO:0019220,GO:0019222,GO:0019538,GO:0019953,GO:0022008,GO:0022412,GO:0022414,GO:0022607,GO:0023051,GO:0023052,GO:0023056,GO:0030154,GO:0030162,GO:0030182,GO:0031323,GO:0031325,GO:0031399,GO:0031401,GO:0031647,GO:0031974,GO:0031981,GO:0032147,GO:0032268,GO:0032270,GO:0032501,GO:0032502,GO:0032504,GO:0032991,GO:0033554,GO:0033674,GO:0034622,GO:0034641,GO:0035107,GO:0035114,GO:0035120,GO:0035220,GO:0035239,GO:0035295,GO:0035556,GO:0036211,GO:0038061,GO:0042127,GO:0042221,GO:0042325,GO:0042327,GO:0042461,GO:0042742,GO:0043085,GO:0043170,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043549,GO:0043687,GO:0043933,GO:0044085,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0044703,GO:0045859,GO:0045860,GO:0045937,GO:0046483,GO:0046530,GO:0048468,GO:0048471,GO:0048477,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048563,GO:0048569,GO:0048583,GO:0048584,GO:0048592,GO:0048609,GO:0048666,GO:0048699,GO:0048707,GO:0048729,GO:0048731,GO:0048736,GO:0048737,GO:0048749,GO:0048856,GO:0048869,GO:0050789,GO:0050790,GO:0050794,GO:0050821,GO:0050896,GO:0051171,GO:0051173,GO:0051174,GO:0051246,GO:0051247,GO:0051276,GO:0051338,GO:0051347,GO:0051704,GO:0051707,GO:0051716,GO:0060255,GO:0060429,GO:0060562,GO:0060625,GO:0065003,GO:0065007,GO:0065008,GO:0065009,GO:0070011,GO:0070013,GO:0070646,GO:0070647,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0090596,GO:0098542,GO:0140096,GO:1901222,GO:1901224,GO:1901360,GO:1901564,GO:1901700,GO:1902531,GO:1902533,GO:1903320	2.3.2.27,2.7.9.4	ko:K08244,ko:K10655,ko:K12181	-	-	-	-	ko00000,ko01000,ko04121	-	-	-
TTHERM_00037040	m0218	WD domain G-beta repeat protein	WD domain, G-beta repeat	-	33154|Opisthokonta	S	-	-	-	-	-	-	-	-	-	-	-
TTHERM_000195999	m0218	hypothetical protein	-	-	5878|Ciliophora	-	-	-	-	-	-	-	-	-	-	-	-
